Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
06-03-1996,RELIANCE,EQ,210.85,214.5,219.8,212.6,,218.35,215.93,19417300,4.19E+14,,,
07-03-1996,RELIANCE,EQ,218.35,221.4,225.25,219.25,,220.3,222.37,30505050,6.78E+14,,,
08-03-1996,RELIANCE,EQ,220.3,217.5,220,214.75,,219.15,217.21,23093700,5.02E+14,,,
11-03-1996,RELIANCE,EQ,219.15,216,220.5,215.15,,219.85,217.5,22531900,4.90E+14,,,
12-03-1996,RELIANCE,EQ,219.85,219.5,238,218.5,,231.15,224.76,28669950,6.44E+14,,,
13-03-1996,RELIANCE,EQ,231.15,225,228.25,222.25,,227.2,225.74,20626200,4.66E+14,,,
14-03-1996,RELIANCE,EQ,227.2,227,229.4,225.5,,227.15,228.02,21336550,4.87E+14,,,
15-03-1996,RELIANCE,EQ,227.15,225.95,226.65,218,,219.7,223.11,22223150,4.96E+14,,,
18-03-1996,RELIANCE,EQ,219.7,217.45,218,208.9,,209.7,213.09,23825350,5.08E+14,,,
19-03-1996,RELIANCE,EQ,209.7,209,212.8,192.5,,196.8,205.35,37034500,7.60E+14,,,
21-03-1996,RELIANCE,EQ,196.8,205,213.1,205,,210.9,209.67,23937450,5.02E+14,,,
22-03-1996,RELIANCE,EQ,210.9,206.95,206.95,198.5,,202.35,202.22,24093300,4.87E+14,,,
25-03-1996,RELIANCE,EQ,202.35,204.95,206.1,198.25,,201.15,203.43,16322250,3.32E+14,,,
26-03-1996,RELIANCE,EQ,201.15,200,204,193.5,,199.85,198.47,19007600,3.77E+14,,,
27-03-1996,RELIANCE,EQ,199.85,207,209.95,206.05,,206.95,207.86,13468250,2.80E+14,,,
28-03-1996,RELIANCE,EQ,206.95,207.5,210.7,206.8,,209.65,208.9,12832000,2.68E+14,,,
29-03-1996,RELIANCE,EQ,209.65,209.4,210.75,206.2,,206.85,208.04,11637700,2.42E+14,,,
01-04-1996,RELIANCE,EQ,206.85,207.75,209.5,206,,208.8,208.27,8836850,1.84E+14,,,
02-04-1996,RELIANCE,EQ,208.8,209.25,212,207.25,,209.35,209.98,13118200,2.75E+14,,,
03-04-1996,RELIANCE,EQ,209.35,214.05,216.4,210.6,,211.1,213.3,10604950,2.26E+14,,,
04-04-1996,RELIANCE,EQ,211.1,209,209.3,206.4,,208.6,207.87,8634450,1.79E+14,,,
08-04-1996,RELIANCE,EQ,208.6,211.25,213.2,209.9,,212.1,211.45,8144200,1.72E+14,,,
09-04-1996,RELIANCE,EQ,212.1,214.75,217.2,211.25,,212.35,214.47,11431550,2.45E+14,,,
10-04-1996,RELIANCE,EQ,212.35,215,215.95,211.4,,212.25,213.37,10179050,2.17E+14,,,
11-04-1996,RELIANCE,EQ,212.25,210.25,211.5,208.85,,210.05,210.08,7729150,1.62E+14,,,
12-04-1996,RELIANCE,EQ,210.05,210.05,217.5,209.1,,215.8,213.39,12178600,2.60E+14,,,
15-04-1996,RELIANCE,EQ,215.8,220,225.75,219.55,,221.35,222.78,17016500,3.79E+14,,,
16-04-1996,RELIANCE,EQ,221.35,222,224.75,220,,221.85,222.16,13886250,3.08E+14,,,
17-04-1996,RELIANCE,EQ,221.85,228,233.75,225.85,,231.3,229.1,14638550,3.35E+14,,,
18-04-1996,RELIANCE,EQ,231.3,238.5,245.25,236.65,,244,240.95,24500850,5.90E+14,,,
19-04-1996,RELIANCE,EQ,244,246,250.5,243.55,,245.55,247.27,23490050,5.81E+14,,,
22-04-1996,RELIANCE,EQ,245.55,248,248.5,236.5,,237.75,240.99,20631250,4.97E+14,,,
23-04-1996,RELIANCE,EQ,237.75,235.55,238.75,232.5,,236.15,235.17,20359900,4.79E+14,,,
24-04-1996,RELIANCE,EQ,236.15,247.1,258.1,246.2,,255.3,250.69,19097550,4.79E+14,,,
25-04-1996,RELIANCE,EQ,255.3,257,262.5,238,,242.3,253.31,22143750,5.61E+14,,,
26-04-1996,RELIANCE,EQ,242.3,242,247.45,236,,244.45,241.52,22583350,5.45E+14,,,
29-04-1996,RELIANCE,EQ,244.45,242,243.25,237.75,,242.45,240.59,15034000,3.62E+14,,,
30-04-1996,RELIANCE,EQ,242.45,242,250,240.5,,244.65,242.88,15329500,3.72E+14,,,
01-05-1996,RELIANCE,EQ,244.65,267,269.9,264.25,,266.05,266.32,17689800,4.71E+14,,,
02-05-1996,RELIANCE,EQ,266.05,264,267.6,260,,266.25,263.31,18100300,4.77E+14,,,
03-05-1996,RELIANCE,EQ,266.25,263.95,265.5,259,,260.2,262.51,17620450,4.63E+14,,,
06-05-1996,RELIANCE,EQ,260.2,254,255.4,244.3,,245.6,250.1,21102750,5.28E+14,,,
07-05-1996,RELIANCE,EQ,245.6,245.25,250.45,244.3,,248.6,247.89,19587000,4.86E+14,,,
08-05-1996,RELIANCE,EQ,248.6,244,253.5,241,,249.95,246.06,28050450,6.90E+14,,,
09-05-1996,RELIANCE,EQ,249.95,245.25,250.4,242.5,,243.85,246.06,21757350,5.35E+14,,,
10-05-1996,RELIANCE,EQ,243.85,238,242.65,236.55,,241.3,239.41,21646350,5.18E+14,,,
13-05-1996,RELIANCE,EQ,241.3,244.5,247.9,243.1,,246.4,245.44,14223050,3.49E+14,,,
14-05-1996,RELIANCE,EQ,246.4,246,254.9,244.75,,253.25,249.28,23243250,5.79E+14,,,
15-05-1996,RELIANCE,EQ,253.25,249.25,256,244.05,,253.8,249.72,32748350,8.18E+14,,,
16-05-1996,RELIANCE,EQ,253.8,256.75,260.5,253.55,,255.25,257.67,24583100,6.33E+14,,,
17-05-1996,RELIANCE,EQ,255.25,250,253,248.8,,250.2,250.78,20182550,5.06E+14,,,
20-05-1996,RELIANCE,EQ,250.2,247,247.4,241.6,,242.35,244.56,11643300,2.85E+14,,,
21-05-1996,RELIANCE,EQ,242.35,240.9,244,239.5,,241.5,241.57,16289200,3.94E+14,,,
22-05-1996,RELIANCE,EQ,241.5,244,245.2,242.05,,242.8,243.91,11401300,2.78E+14,,,
23-05-1996,RELIANCE,EQ,242.8,241.2,242.2,239.6,,240.8,240.76,10521250,2.53E+14,,,
24-05-1996,RELIANCE,EQ,240.8,243.1,243.8,241.8,,243.05,242.83,8453750,2.05E+14,,,
27-05-1996,RELIANCE,EQ,243.05,241,241,235.5,,235.9,238.05,13776550,3.28E+14,,,
28-05-1996,RELIANCE,EQ,235.9,231,231,225.55,,228.25,228.4,19477700,4.45E+14,,,
29-05-1996,RELIANCE,EQ,228.25,233.05,244.5,233.05,,241.25,237.29,18374350,4.36E+14,,,
30-05-1996,RELIANCE,EQ,241.25,243,243.7,235.3,,236.85,238.68,18854900,4.50E+14,,,
31-05-1996,RELIANCE,EQ,236.85,240.25,240.5,236.1,,238.35,238.18,15921750,3.79E+14,,,
03-06-1996,RELIANCE,EQ,238.35,243,246.5,241.5,,245.65,244.13,17457450,4.26E+14,,,
04-06-1996,RELIANCE,EQ,245.65,249.95,251.45,237.75,,242.15,247.23,25677700,6.35E+14,,,
05-06-1996,RELIANCE,EQ,242.15,245,245,238.45,,240.6,241.13,11917700,2.87E+14,,,
06-06-1996,RELIANCE,EQ,240.6,243.95,249,243,,244.55,245.5,11819100,2.90E+14,,,
07-06-1996,RELIANCE,EQ,244.55,241.1,245.5,240.75,,244.35,243.33,7996100,1.95E+14,,,
10-06-1996,RELIANCE,EQ,244.35,243.5,244.5,241,,242.15,242.9,6481300,1.57E+14,,,
11-06-1996,RELIANCE,EQ,242.15,241,242.5,238.9,,240.25,240.7,8772050,2.11E+14,,,
12-06-1996,RELIANCE,EQ,240.25,244,246.45,242.1,,243.9,244.77,7153300,1.75E+14,,,
13-06-1996,RELIANCE,EQ,243.9,243.5,244.85,242.15,,242.95,243.63,4175350,1.02E+14,,,
14-06-1996,RELIANCE,EQ,242.95,244,246,243.2,,245.5,244.66,4379700,1.07E+14,,,
17-06-1996,RELIANCE,EQ,245.5,246.25,246.25,241.55,,242.15,243.4,3850350,9.37E+13,,,
18-06-1996,RELIANCE,EQ,242.15,241,241,233.1,,235.95,237.58,6824650,1.62E+14,,,
19-06-1996,RELIANCE,EQ,235.95,236,237,227.05,,228.9,231.68,8541550,1.98E+14,,,
20-06-1996,RELIANCE,EQ,228.9,227,230.25,224.5,,229.25,227.41,10162650,2.31E+14,,,
21-06-1996,RELIANCE,EQ,229.25,227.9,229.4,221.6,,222.9,225.29,12605400,2.84E+14,,,
24-06-1996,RELIANCE,EQ,222.9,221.1,223,217.6,,221,219.59,10982100,2.41E+14,,,
25-06-1996,RELIANCE,EQ,221,222,223,212,,216.35,219.58,12467500,2.74E+14,,,
26-06-1996,RELIANCE,EQ,216.35,217.7,217.7,211.15,,212.2,214.19,10572500,2.26E+14,,,
27-06-1996,RELIANCE,EQ,212.2,210.25,218,207.65,,216,212.29,19236750,4.08E+14,,,
28-06-1996,RELIANCE,EQ,216,218,221.75,211.55,,213.6,217.09,27115550,5.89E+14,,,
01-07-1996,RELIANCE,EQ,213.6,211.05,217.7,206.5,,208.75,209.59,19761700,4.14E+14,,,
02-07-1996,RELIANCE,EQ,208.75,208.9,210.9,203,,204.35,206.99,20282100,4.20E+14,,,
03-07-1996,RELIANCE,EQ,204.35,201.5,201.95,188.5,,190.65,194.7,23045600,4.49E+14,,,
04-07-1996,RELIANCE,EQ,190.65,187.25,195.8,184.2,,189.95,189.84,28804350,5.47E+14,,,
05-07-1996,RELIANCE,EQ,189.95,191.75,193.5,184.55,,187.1,188.9,21253550,4.01E+14,,,
08-07-1996,RELIANCE,EQ,0,190.95,207,186.55,,188.55,188.97,12419900,2.35E+14,,,
09-07-1996,RELIANCE,EQ,188.55,187.05,207,172,,179.3,183.2,19345150,3.54E+14,,,
10-07-1996,RELIANCE,EQ,179.3,173,179.95,172.1,,176.25,176.68,17136250,3.03E+14,,,
11-07-1996,RELIANCE,EQ,176.25,178.5,182.5,175.55,,176.7,179.38,16360750,2.93E+14,,,
12-07-1996,RELIANCE,EQ,176.7,175.5,175.95,168.55,,170.1,172.07,24598550,4.23E+14,,,
15-07-1996,RELIANCE,EQ,170.1,169,188,166.1,,179.55,179.59,51729750,9.29E+14,,,
16-07-1996,RELIANCE,EQ,179.55,200,217.15,200,,216.85,207.88,30655050,6.37E+14,,,
17-07-1996,RELIANCE,EQ,216.85,209,229,205.6,,220.7,217.83,39825300,8.68E+14,,,
18-07-1996,RELIANCE,EQ,220.7,223.95,231.75,223.95,,231.35,229.57,30297400,6.96E+14,,,
19-07-1996,RELIANCE,EQ,231.35,233.45,242.95,233.45,,242.8,241.81,14051100,3.40E+14,,,
22-07-1996,RELIANCE,EQ,235.9,235,247.7,224.4,,239.2,234.93,14482250,3.40E+14,,,
23-07-1996,RELIANCE,EQ,239.2,248,251.2,236.35,,241.25,247.12,17423200,4.31E+14,,,
24-07-1996,RELIANCE,EQ,241.25,235.05,235.05,217.15,,217.75,221.82,15986900,3.55E+14,,,
25-07-1996,RELIANCE,EQ,217.75,215.8,219,206.9,,207.95,212.67,21194100,4.51E+14,,,
26-07-1996,RELIANCE,EQ,207.95,207,211.4,202.4,,208.05,206.57,19068250,3.94E+14,,,
29-07-1996,RELIANCE,EQ,208.05,210.85,218.25,209.6,,212.2,214.62,15793800,3.39E+14,,,
30-07-1996,RELIANCE,EQ,212.2,209.1,210,201.6,,206.6,205.94,14707450,3.03E+14,,,
31-07-1996,RELIANCE,EQ,206.6,208,216.75,197.8,,213.8,205.7,14981550,3.08E+14,,,
01-08-1996,RELIANCE,EQ,213.8,217.95,220,208.6,,209.9,213.53,20484200,4.37E+14,,,
02-08-1996,RELIANCE,EQ,209.9,209.2,211.45,205.5,,207.05,208.61,12995400,2.71E+14,,,
05-08-1996,RELIANCE,EQ,207.05,206.6,207.9,203.05,,203.85,205.64,8193850,1.69E+14,,,
06-08-1996,RELIANCE,EQ,203.85,203,209.5,201.15,,205.95,204.12,11806600,2.41E+14,,,
07-08-1996,RELIANCE,EQ,205.95,206.75,211.5,205.5,,210.55,208.85,10921150,2.28E+14,,,
08-08-1996,RELIANCE,EQ,210.55,211.9,213.2,205.5,,206.45,208.68,10247300,2.14E+14,,,
09-08-1996,RELIANCE,EQ,206.45,206.8,209.4,205,,208.1,207.38,8497250,1.76E+14,,,
12-08-1996,RELIANCE,EQ,208.1,209,210.55,207.1,,208.05,208.79,6904900,1.44E+14,,,
13-08-1996,RELIANCE,EQ,208.05,207.5,210.95,206.8,,209.25,208.5,7013400,1.46E+14,,,
14-08-1996,RELIANCE,EQ,209.25,205.65,209.5,205.65,,206.4,207.82,6141850,1.28E+14,,,
16-08-1996,RELIANCE,EQ,206.4,206.5,207.9,204.55,,206.4,206.05,5397550,1.11E+14,,,
19-08-1996,RELIANCE,EQ,206.4,205.5,206,196.1,,197.25,201.29,8030600,1.62E+14,,,
20-08-1996,RELIANCE,EQ,197.25,195.25,203.5,194.15,,199.4,198.25,12571550,2.49E+14,,,
21-08-1996,RELIANCE,EQ,199.4,204.8,209.4,203.5,,209.4,208.3,11025750,2.30E+14,,,
22-08-1996,RELIANCE,EQ,209.4,216,217.45,209.65,,210.9,213.67,16770050,3.58E+14,,,
23-08-1996,RELIANCE,EQ,210.9,211,215.75,210,,213.45,213.28,12502400,2.67E+14,,,
26-08-1996,RELIANCE,EQ,213.45,211.5,213.4,208.4,,209.25,211,9975250,2.10E+14,,,
27-08-1996,RELIANCE,EQ,209.25,209,210.25,206,,207.55,208.03,10775300,2.24E+14,,,
28-08-1996,RELIANCE,EQ,207.55,208,213.75,208,,213.35,212.37,6137300,1.30E+14,,,
29-08-1996,RELIANCE,EQ,213.35,213.95,214.45,210.9,,211.35,212.69,6219600,1.32E+14,,,
30-08-1996,RELIANCE,EQ,211.35,211.1,212.2,210.1,,211.55,211.21,4365550,9.22E+13,,,
02-09-1996,RELIANCE,EQ,211.55,212.1,213.45,211.1,,212.7,212.44,4216750,8.96E+13,,,
03-09-1996,RELIANCE,EQ,212.7,213.45,214.9,206.1,,207.35,209.77,9857900,2.07E+14,,,
04-09-1996,RELIANCE,EQ,207.35,206.25,208.1,205.1,,207.6,206.97,4844150,1.00E+14,,,
05-09-1996,RELIANCE,EQ,207.6,208.45,211.25,208.45,,210.7,209.73,5124350,1.07E+14,,,
06-09-1996,RELIANCE,EQ,210.7,211.55,211.85,208.1,,208.95,209.57,3993450,8.37E+13,,,
09-09-1996,RELIANCE,EQ,208.95,208.9,209,206.5,,207.35,207.42,3857850,8.00E+13,,,
10-09-1996,RELIANCE,EQ,207.35,207.15,207.15,204.25,,205.5,205.59,5161700,1.06E+14,,,
11-09-1996,RELIANCE,EQ,205.5,205.1,207.9,202.1,,203.3,205.04,4453100,9.13E+13,,,
12-09-1996,RELIANCE,EQ,203.3,202,203.2,198.5,,201.8,200.74,9699950,1.95E+14,,,
13-09-1996,RELIANCE,EQ,201.8,202.95,203.35,199.55,,200.05,201.23,6495950,1.31E+14,,,
16-09-1996,RELIANCE,EQ,200.05,199.05,199.05,191.4,,192.9,195.31,7469400,1.46E+14,,,
17-09-1996,RELIANCE,EQ,192.9,193.05,198,192.8,,195.8,194.83,6327950,1.23E+14,,,
18-09-1996,RELIANCE,EQ,195.8,195,207.5,194.75,,205.35,201.26,7278000,1.46E+14,,,
19-09-1996,RELIANCE,EQ,205.35,205.95,207.55,197,,197.95,201.31,8776600,1.77E+14,,,
20-09-1996,RELIANCE,EQ,197.95,197.6,200.95,196,,196.85,197.78,5679200,1.12E+14,,,
23-09-1996,RELIANCE,EQ,196.85,196.05,197,192.15,,194.3,194.48,5822600,1.13E+14,,,
24-09-1996,RELIANCE,EQ,194.3,195,197.9,194.5,,195.8,195.54,4716950,9.22E+13,,,
25-09-1996,RELIANCE,EQ,195.8,197.9,201,196.5,,197.2,198.98,5289550,1.05E+14,,,
26-09-1996,RELIANCE,EQ,197.2,196.2,196.9,192.5,,194.1,194.27,4696850,9.12E+13,,,
27-09-1996,RELIANCE,EQ,194.1,193.95,193.95,187.15,,188.15,189.52,9216800,1.75E+14,,,
30-09-1996,RELIANCE,EQ,188.15,187,191.9,185.4,,191.05,188.52,8880950,1.67E+14,,,
01-10-1996,RELIANCE,EQ,191.05,192,192.85,188.55,,190.55,190.9,6648800,1.27E+14,,,
03-10-1996,RELIANCE,EQ,190.55,192.5,194.9,188.3,,189.7,191.37,5450600,1.04E+14,,,
04-10-1996,RELIANCE,EQ,189.7,190.75,192.25,186.25,,190.7,188.82,6429800,1.21E+14,,,
07-10-1996,RELIANCE,EQ,190.7,191.15,191.15,180.5,,187,186.38,9715800,1.81E+14,,,
08-10-1996,RELIANCE,EQ,187,186.1,190,181.55,,187.8,185.35,7023050,1.30E+14,,,
09-10-1996,RELIANCE,EQ,187.8,190,192,187.25,,190.25,189.45,6260800,1.19E+14,,,
10-10-1996,RELIANCE,EQ,190.25,189.7,196,188.8,,195.35,192.96,6942750,1.34E+14,,,
11-10-1996,RELIANCE,EQ,195.35,196.25,198.5,193.1,,195.1,196.22,7793850,1.53E+14,,,
14-10-1996,RELIANCE,EQ,195.1,193.25,194,188.55,,189.35,191.1,5772250,1.10E+14,,,
15-10-1996,RELIANCE,EQ,189.35,188.15,191.5,185.75,,188.8,188.28,5791200,1.09E+14,,,
16-10-1996,RELIANCE,EQ,188.8,192.05,192.95,187.85,,188.5,190.19,4973450,9.46E+13,,,
17-10-1996,RELIANCE,EQ,188.5,187.55,195,185.85,,193.35,190.01,10020950,1.90E+14,,,
18-10-1996,RELIANCE,EQ,193.35,194.5,198,191.8,,194.8,195.01,16045900,3.13E+14,,,
22-10-1996,RELIANCE,EQ,194.8,196.25,205.5,196.25,,201.75,202.45,14445750,2.92E+14,,,
23-10-1996,RELIANCE,EQ,201.75,212.2,214.7,209,,213.5,211.93,11475300,2.43E+14,,,
24-10-1996,RELIANCE,EQ,213.5,214.95,220.9,208.6,,210.7,215.46,23731750,5.11E+14,,,
25-10-1996,RELIANCE,EQ,210.7,209.95,215.25,209.55,,213.95,213.01,10967450,2.34E+14,,,
28-10-1996,RELIANCE,EQ,213.95,215,216,210.5,,211.55,213.31,7101750,1.51E+14,,,
29-10-1996,RELIANCE,EQ,211.55,210.55,216,206.05,,208.25,209.61,9118100,1.91E+14,,,
31-10-1996,RELIANCE,EQ,208.25,204.55,204.55,199.6,,202,201.65,6246600,1.26E+14,,,
01-11-1996,RELIANCE,EQ,202,203.45,216,195.45,,196.75,199.59,6304450,1.26E+14,,,
04-11-1996,RELIANCE,EQ,196.75,195,195,186.8,,188.7,190.03,7849500,1.49E+14,,,
05-11-1996,RELIANCE,EQ,188.7,188.15,190.65,184,,185.15,187.49,6128200,1.15E+14,,,
06-11-1996,RELIANCE,EQ,185.15,181.15,185.25,176.15,,182.95,181.43,13392700,2.43E+14,,,
07-11-1996,RELIANCE,EQ,182.95,185.4,186.35,183,,185.5,184.71,7058450,1.30E+14,,,
08-11-1996,RELIANCE,EQ,185.5,186.5,188.1,180.5,,187.15,185.72,5585500,1.04E+14,,,
10-11-1996,RELIANCE,EQ,187.15,188.75,188.9,182.1,,183.2,184.21,4271200,7.87E+13,,,
11-11-1996,RELIANCE,EQ,183.2,182.75,185.95,180.8,,183.45,182.31,5730850,1.04E+14,,,
13-11-1996,RELIANCE,EQ,183.45,182,187.75,182,,186.7,185.66,3269600,6.07E+13,,,
14-11-1996,RELIANCE,EQ,186.7,186,187,183.35,,184.25,184.81,2821050,5.21E+13,,,
15-11-1996,RELIANCE,EQ,184.25,183.65,187.9,183.05,,186.6,185.37,3199150,5.93E+13,,,
18-11-1996,RELIANCE,EQ,186.6,187.5,192.2,187.5,,191.7,190.34,5731900,1.09E+14,,,
19-11-1996,RELIANCE,EQ,191.7,192.15,192.95,187.45,,189.3,189.68,5268400,9.99E+13,,,
20-11-1996,RELIANCE,EQ,189.3,189.5,189.5,182.1,,182.85,185.21,4153000,7.69E+13,,,
21-11-1996,RELIANCE,EQ,182.85,182.55,184.6,177.85,,179.65,181.37,7486400,1.36E+14,,,
22-11-1996,RELIANCE,EQ,179.65,177.7,180.7,176.65,,177.85,178.53,8285700,1.48E+14,,,
25-11-1996,RELIANCE,EQ,177.85,177.25,190.3,173.75,,186.35,180.38,12755750,2.30E+14,,,
26-11-1996,RELIANCE,EQ,186.35,189.6,194.65,183.05,,189.4,189.59,14217450,2.70E+14,,,
27-11-1996,RELIANCE,EQ,189.4,183,183,177.25,,181.6,180.52,7942250,1.43E+14,,,
28-11-1996,RELIANCE,EQ,181.6,182,183.95,179.5,,180.65,181.61,4642150,8.43E+13,,,
29-11-1996,RELIANCE,EQ,180.65,181.9,183.3,180.3,,181.3,181.87,3596550,6.54E+13,,,
02-12-1996,RELIANCE,EQ,181.3,180.25,182.95,179.15,,180.85,181.63,2612350,4.74E+13,,,
03-12-1996,RELIANCE,EQ,180.85,180,186.4,179.7,,182.3,182.95,7147250,1.31E+14,,,
04-12-1996,RELIANCE,EQ,182.3,181,181,177.1,,179.75,179.03,4818750,8.63E+13,,,
05-12-1996,RELIANCE,EQ,179.75,178.1,184.9,176.75,,182.85,182.05,6752800,1.23E+14,,,
06-12-1996,RELIANCE,EQ,182.85,183.75,184.95,182,,183.15,183.31,3980250,7.30E+13,,,
09-12-1996,RELIANCE,EQ,183.15,182,184.55,181.85,,182.85,183.29,2905650,5.33E+13,,,
10-12-1996,RELIANCE,EQ,182.85,182,182.4,178.55,,179.7,180.62,3923200,7.09E+13,,,
11-12-1996,RELIANCE,EQ,179.7,180.45,192.3,180.45,,192.25,188.59,7302800,1.38E+14,,,
12-12-1996,RELIANCE,EQ,192.25,194,195.35,187.3,,188.05,191,8672800,1.66E+14,,,
13-12-1996,RELIANCE,EQ,188.05,187.1,189,185.3,,188.1,187.13,4517750,8.45E+13,,,
16-12-1996,RELIANCE,EQ,188.1,189.3,196,189.3,,194.8,193.57,7091250,1.37E+14,,,
17-12-1996,RELIANCE,EQ,194.8,194.5,196.1,190.2,,192.2,193.1,6027750,1.16E+14,,,
18-12-1996,RELIANCE,EQ,192.2,195,198.75,193.65,,195.05,196.64,7059850,1.39E+14,,,
19-12-1996,RELIANCE,EQ,195.05,194.5,197.5,192.75,,195.15,194.25,4773200,9.27E+13,,,
20-12-1996,RELIANCE,EQ,195.15,197.6,205.5,197.6,,204,201.93,12818250,2.59E+14,,,
23-12-1996,RELIANCE,EQ,204,204.95,204.95,199.6,,200.95,201.92,7430700,1.50E+14,,,
24-12-1996,RELIANCE,EQ,200.95,200.4,202,198.5,,200.55,199.92,5456600,1.09E+14,,,
26-12-1996,RELIANCE,EQ,200.55,204,210.75,204,,209.75,208.48,5166900,1.08E+14,,,
31-12-1996,RELIANCE,EQ,209.75,210.75,211,205.1,,206.65,207.63,3726450,7.74E+13,,,
01-01-1997,RELIANCE,EQ,206.65,209.5,220.5,209.5,,219.4,216.55,10098300,2.19E+14,,,
