No,HouseAgeYears,UnitAreaPrice
326,30.4,25.9
327,30.6,53.3
328,30.6,48.5
329,30.7,18.3
330,30.8,36.8
331,30.9,12.2
332,30.9,39.7
333,31,19
334,31.3,20.7
335,31.3,30.9
336,31.4,34.1
337,31.4,21.5
338,31.5,32.5
339,31.5,17.4
340,31.5,36.3
341,31.7,18.8
342,31.7,13.7
343,31.7,13.8
344,31.9,16.1
345,32,37.9
346,32,12.8
347,32.1,27
348,32.3,48
349,32.4,40.2
350,32.5,36.3
351,32.6,40.6
352,32.6,24.7
353,32.7,30.5
354,32.8,48.2
355,32.8,38.6
356,32.9,47.1
357,33,42
358,33.2,46.1
359,33.3,39.4
360,33.4,42.2
361,33.5,23.5
362,33.5,46.6
363,33.6,41.9
364,33.6,42.9
365,33.9,41.5
366,34,39.1
367,34.4,34.1
368,34.4,48.2
369,34.5,40.3
370,34.5,46
371,34.6,26.9
372,34.6,41.2
373,34.7,41.1
374,34.8,41.4
375,34.8,44.3
376,34.8,40.9
377,34.9,39.7
378,34.9,28.5
379,35.3,42.3
380,35.3,33.1
381,35.4,78
382,35.5,40.8
383,35.7,50.5
384,35.8,48.5
385,35.9,61.5
386,35.9,36.8
387,36.1,34.7
388,36.6,38.3
389,36.6,38.1
390,37.1,31.9
391,37.2,78.3
392,37.3,37.4
393,37.7,37
394,37.8,39.7
395,37.9,34.2
396,38,35.7
397,38.2,29.8
398,38.3,31.5
399,38.3,38.4
400,38.5,41
401,38.5,34.2
402,38.6,62.9
403,39.2,30
404,39.6,38.8
405,39.7,32.4
406,39.8,39.6
407,40.1,44.3
408,40.9,41
409,40.9,67.7
410,41.3,60.7
411,41.3,35.1
412,41.4,63.3
413,42.7,35.3
414,43.8,42.7
